day,hours,humidity,temperature
8,10,50,37.6
8,11,50,37.6
8,12,51,37.6
8,13,53,37.6
8,14,51,37.6
8,15,52,37.6
8,16,50,37.6
8,17,50,37.6
8,18,52,37.6
8,19,52,37.6
8,20,52,37.6
8,21,53,37.6
8,22,53,37.6
8,23,50,37.6
9,0,51,37.6
9,1,52,37.6
9,2,54,37.6
9,3,51,37.6
9,4,53,37.6
9,5,53,37.6
9,6,50,37.6
9,7,54,37.6
9,8,52,37.6
9,9,50,37.6
9,10,52,37.6
9,11,50,37.6
9,12,50,37.6
9,13,51,37.6
9,14,53,37.6
9,15,54,37.6
9,16,50,37.6
9,17,53,37.6
9,18,52,37.6
9,19,54,37.6
9,20,50,37.6
9,21,51,37.6
9,22,50,37.6
9,23,51,37.6
10,0,50,37.6
10,1,54,37.6
10,2,53,37.6
10,3,52,37.6
10,4,53,37.6
10,5,52,37.6
10,6,50,37.6
10,7,51,37.6
10,8,53,37.6
10,9,52,37.6
10,10,50,37.6
10,11,51,37.6
10,12,50,37.6
10,13,50,37.6
10,14,52,37.6
10,15,53,37.6
10,16,53,37.6
10,17,51,37.6
10,18,50,37.6
10,19,50,37.6
10,20,50,37.6
10,21,52,37.6
10,22,51,37.6
10,23,54,37.6
11,0,42,37.6
11,1,42,37.6
11,2,41,37.6
11,3,40,37.6
11,4,41,37.6
11,5,41,37.6
11,6,38,37.5
11,7,38,37.6
11,8,42,37.6
11,9,40,37.6
11,10,38,37.6
11,11,39,37.5
11,12,41,37.6
11,13,38,37.5
11,14,41,37.6
11,15,38,37.6
11,16,40,37.6
11,17,42,37.6
11,18,38,37.6
11,19,40,37.6
11,20,41,37.6
11,21,40,37.6
11,22,39,37.5
11,23,40,37.6
12,0,42,37.6
12,1,41,37.6
12,2,38,37.6
12,3,41,37.6
12,4,39,37.6
12,5,39,37.6
12,6,38,37.6
12,7,40,37.6
12,8,40,37.5
12,9,39,37.5
12,10,41,37.6
12,11,38,37.6
12,12,41,37.6
12,13,40,37.6
12,14,40,37.6
12,15,40,37.6
12,16,39,37.6
12,17,42,37.6
12,18,38,37.6
12,19,41,37.6
12,20,40,37.6
12,21,42,37.5
12,22,39,37.6
12,23,40,37.6
13,0,41,37.6
13,1,42,37.6
13,2,41,37.6
13,3,39,37.6
13,4,42,37.6
13,5,39,37.5
13,6,38,37.6
13,7,42,37.6
13,8,38,37.6
13,9,39,37.5
13,10,38,37.6
13,11,39,37.6
13,12,39,37.6
13,13,41,37.6
13,14,41,37.6
13,15,39,37.6
13,16,41,37.6
13,17,42,37.5
13,18,38,37.5
13,19,41,37.6
13,20,39,37.6
13,21,42,37.5
13,22,38,37.6
13,23,40,37.6
14,0,41,37.6
14,1,41,37.6
14,2,41,37.6
14,3,38,37.6
14,4,38,37.5
14,5,38,37.6
14,6,40,37.6
14,7,40,37.5
14,8,42,37.6
14,9,42,37.6
14,10,38,37.6
14,11,42,37.6
14,12,39,37.6
14,13,40,37.6
14,14,39,37.6
14,15,42,37.6
14,16,41,37.5
14,17,39,37.6
14,18,42,37.6
14,19,42,37.6
14,20,38,37.6
14,21,41,37.6
14,22,42,37.6
14,23,40,37.6
15,0,39,37.5
15,1,41,37.6
15,2,41,37.6
15,3,40,37.6
15,4,41,37.6
15,5,41,37.6
15,6,41,37.5
15,7,42,37.6
15,8,40,37.6
15,9,41,37.5
15,10,41,37.6
15,11,42,37.6
15,12,39,37.6
15,13,41,37.6
15,14,40,37.6
15,15,38,37.6
15,16,41,37.6
15,17,39,37.5
15,18,39,37.6
15,19,40,37.6
15,20,42,37.6
15,21,38,37.6
15,22,38,37.6
15,23,42,37.6
16,0,39,36.7
16,1,40,36.7
16,2,40,36.7
16,3,41,36.7
16,4,42,36.7
16,5,40,36.7
16,6,42,36.7
16,7,42,36.8
16,8,42,36.8
16,9,42,36.7
16,10,39,36.7
16,11,38,36.7
16,12,41,36.7
16,13,41,36.7
16,14,40,36.7
16,15,41,36.7
16,16,39,36.7
16,17,41,36.7
16,18,42,36.8
16,19,40,36.7
16,20,42,36.8
16,21,41,36.7
16,22,42,36.8
16,23,41,36.7
17,0,40,36.7
17,1,41,36.7
17,2,39,36.7
17,3,42,36.7
17,4,41,36.7
17,5,39,36.7
17,6,41,36.7
17,7,41,36.7
17,8,38,36.7
17,9,38,36.7
17,10,38,36.7
17,11,39,36.7
17,12,41,36.7
17,13,42,36.8
17,14,40,36.7
17,15,42,36.7
17,16,38,36.7
17,17,39,36.7
17,18,39,36.7
17,19,42,36.7
17,20,40,36.7
17,21,42,36.8
17,22,38,36.7
17,23,40,36.7
18,0,42,36.7
18,1,41,36.7
18,2,42,36.7
18,3,41,36.7
18,4,39,36.7
18,5,41,36.7
18,6,40,36.7
18,7,39,36.7
18,8,40,36.7
18,9,40,36.7
18,10,50,37.4
18,11,42,36.8
18,12,39,36.7
18,13,39,36.7
18,14,38,36.7
18,15,41,36.7
18,16,38,36.7
18,17,39,36.7
18,18,38,36.7
18,19,41,36.7
18,20,41,36.7
18,21,39,36.7
18,22,40,36.7
18,23,40,36.7
